Industry_of_Project,Employee_Count,team_size_grown,Number_of_Co_founders,customer_satisfaction_score,churn_rate,scalability_score,monthly_recurring_revenue,burn_rate,business_sustainability_score,User_Adoption_Rate,Revenue_Growth,Market_Competition,customer_acquisition_cost,Dependent_Project_Status,revenue_to_burn_ratio,revenue_per_employee,satisfaction_adoption_product,churn_competition_risk,growth_sustainability_score,team_growth_efficiency
Education,8,0,1,5.53,0.312,32,7897,14239,23,0.21,2.39,3,211,0,0.554564606741573,877.4444444444445,1.1613,0.9359999999999999,2.8497000000000003,0.0
Healthcare,109,2,3,7.83,0.018,90,59018,7390,73,0.89,14.81,1,54,1,7.9851170342308215,536.5272727272727,6.9687,0.018,18.1113,1.0730545454545455
Analytics,70,4,3,7.78,0.057,96,59906,8704,101,0.958,17.63,1,107,1,6.881792073520965,843.7464788732394,7.45324,0.057,27.9063,3.3749859154929576
Food & Beverages,10,0,2,3.28,0.383,51,11308,17311,50,0.109,-7.11,4,164,0,0.6531885397412199,1028.0,0.35752,1.532,1.4449999999999996,0.0
Advertising,19,1,1,6.48,0.279,38,15194,16660,45,0.296,2.49,3,211,0,0.9119500630214273,759.7,1.91808,0.8370000000000001,5.6205,0.7597
Cloud Computing,12,0,1,6.14,0.301,20,29556,45647,38,0.247,3.49,5,117,0,0.6474763406940063,2273.5384615384614,1.5165799999999998,1.505,5.1262,0.0
Education,17,0,1,5.42,0.465,29,14699,23786,45,0.465,-4.99,5,92,0,0.6179425736746963,816.6111111111111,2.5203,2.325,2.2544999999999997,0.0
Finance,6,0,2,5.56,0.333,37,32396,56005,18,0.238,-0.12,3,173,0,0.5784380244973752,4628.0,1.3232799999999998,0.9990000000000001,1.7784,0.0
Email,120,4,1,7.19,0.091,95,102347,30517,95,0.947,23.68,2,92,1,3.353660135002294,845.8429752066115,6.80893,0.182,31.996,3.3833719008264462
Finance,102,2,3,6.06,0.03,77,84517,20110,82,0.795,8.16,2,92,1,4.202525980806524,820.5533980582525,4.8177,0.06,14.891200000000001,1.641106796116505
Marketing,31,1,2,6.46,0.424,11,14365,24104,30,0.164,-8.28,4,307,0,0.5959344534328977,448.90625,1.05944,1.696,0.5160000000000002,0.44890625
Retail,16,1,2,4.31,0.427,21,8429,7295,30,0.238,-8.79,5,216,0,1.1552905701754386,495.8235294117647,1.02578,2.135,0.36300000000000027,0.4958235294117647
Hospitality,55,2,3,7.99,0.027,68,78452,17642,81,0.95,15.36,1,122,1,4.446636059627047,1400.9285714285713,7.5905,0.027,20.5416,2.8018571428571426
Media,21,0,1,6.84,0.192,33,7247,9110,52,0.161,-11.88,3,148,0,0.7954121391724289,329.40909090909093,1.10124,0.5760000000000001,-0.9776000000000005,0.0
Food & Beverages,34,3,2,7.18,0.024,73,133220,31235,80,0.852,13.39,2,64,1,4.264950697912665,3806.285714285714,6.11736,0.048,18.712,11.418857142857144
Food & Beverages,67,4,2,7.32,0.035,90,103272,17272,78,0.89,26.65,2,87,1,5.978810860881144,1518.7058823529412,6.5148,0.07,28.587,6.0748235294117645
Cloud Computing,16,1,2,6.03,0.235,49,24496,39442,35,0.375,2.78,3,242,0,0.6210480947189615,1440.9411764705883,2.26125,0.705,4.473,1.4409411764705884
Analytics,33,0,2,6.23,0.457,39,24151,39550,34,0.194,5.08,5,216,0,0.6106293140502137,710.3235294117648,1.20862,2.285,5.1272,0.0
Pharmaceuticals,7,1,1,5.78,0.474,9,12574,10752,53,0.258,15.75,4,362,0,1.1693480889054217,1571.75,1.4912400000000001,1.896,13.6475,1.57175
Finance,93,2,3,7.97,0.017,73,104587,40753,85,0.901,12.68,1,69,1,2.5663002404671933,1112.627659574468,7.18097,0.017,19.278,2.225255319148936
Transportation,117,3,2,8.0,0.012,80,71441,13206,84,0.899,23.69,1,45,1,5.409328386461725,605.4322033898305,7.192,0.012,28.2996,1.8162966101694915
Real Estate,124,3,3,5.9,0.05,97,66795,4282,78,0.806,28.9,1,83,1,15.595377072145693,534.36,4.755400000000001,0.05,30.342,1.6030799999999998
Music,49,4,2,7.29,0.026,80,79052,17950,97,0.898,10.27,2,55,1,4.403765806918835,1581.04,6.54642,0.052,19.6619,6.32416
Media,6,0,1,2.93,0.293,57,10578,12821,34,0.204,0.03,3,364,0,0.8249883013570426,1511.142857142857,0.59772,0.879,3.4101999999999997,0.0
Gaming,72,4,2,7.46,0.032,75,83114,6343,81,0.835,21.32,1,104,1,13.101197982345523,1138.5479452054794,6.2291,0.032,25.3692,4.554191780821918
Career Services,14,0,1,4.87,0.366,57,9298,14185,25,0.128,9.38,5,161,0,0.6554349358522487,619.8666666666667,0.62336,1.83,4.845000000000001,0.0
Analytics,51,2,2,6.84,0.044,69,121032,37740,69,0.868,19.11,1,141,1,3.2069102567499534,2327.5384615384614,5.93712,0.044,20.0859,4.655076923076923
Marketing,21,0,1,5.46,0.378,49,15688,21272,31,0.102,5.24,4,333,0,0.7374606308466131,713.0909090909091,0.55692,1.512,4.7244,0.0
Marketing,116,2,1,8.63,0.019,82,96386,24536,84,0.921,13.5,2,78,1,3.928190080286914,823.8119658119658,7.9482300000000015,0.038,19.74,1.6476239316239316
E-Commerce,24,1,2,4.04,0.337,53,11268,18392,37,0.364,-0.67,3,210,0,0.612624367966074,450.72,1.4705599999999999,1.0110000000000001,3.4520999999999997,0.45072
Music,13,0,1,5.75,0.333,40,5433,8749,41,0.239,1.42,5,240,0,0.6209142857142858,388.07142857142856,1.37425,1.665,4.6822,0.0
Energy,13,0,1,4.7,0.472,22,11318,16694,36,0.22,9.62,4,171,0,0.6779275232105421,808.4285714285714,1.034,1.888,7.063199999999999,0.0
Email,16,0,1,4.48,0.366,34,6962,7090,26,0.236,-0.32,5,144,0,0.9818079255394162,409.52941176470586,1.05728,1.83,2.5168,0.0
Security,100,1,1,8.65,0.018,78,84744,37655,69,0.826,30.03,2,112,1,2.2504780114722753,839.049504950495,7.1449,0.036,27.620700000000003,0.839049504950495
Cloud Computing,24,1,1,6.6,0.188,70,25508,33371,62,0.613,1.62,3,81,0,0.764353350113868,1020.32,4.0458,0.5640000000000001,7.204400000000001,1.0203200000000001
Music,25,1,1,3.94,0.343,16,10434,10216,30,0.258,6.64,3,293,0,1.0212391112851131,401.3076923076923,1.01652,1.0290000000000001,4.992000000000001,0.4013076923076923
Advertising,106,4,2,9.0,0.045,82,104309,40674,89,0.899,15.16,2,108,1,2.5644499078057774,974.8504672897196,8.091000000000001,0.09,22.392400000000002,3.8994018691588783
Energy,33,4,2,7.46,0.01,100,105945,35027,79,0.931,35.4,1,60,1,3.024580335731415,3116.029411764706,6.94526,0.01,35.866,12.464117647058824
Healthcare,95,1,3,9.5,0.028,98,55176,35189,65,0.958,21.94,1,78,1,1.5679454390451832,574.75,9.100999999999999,0.028,20.761,0.57475
Hospitality,137,1,2,8.67,0.019,79,94623,30503,86,0.936,26.78,2,59,1,3.101986624704957,685.6739130434783,8.115120000000001,0.038,31.6308,0.6856739130434782
Manufacturing,82,1,2,10.11,0.023,91,133846,65454,69,0.875,16.5,2,139,1,2.044855244060805,1612.6024096385543,8.84625,0.046,18.285,1.6126024096385543
Gaming,62,3,1,8.38,0.021,76,84348,7099,87,0.885,30.38,2,102,1,11.88,1338.857142857143,7.416300000000001,0.042,35.130599999999994,4.016571428571428
Cloud Computing,84,2,1,8.47,0.029,72,71003,17504,88,0.869,20.39,2,52,1,4.05615538417595,835.3294117647059,7.360430000000001,0.058,26.7432,1.6706588235294118
Human Resources,37,3,3,7.41,0.043,92,103592,9923,84,0.912,28.35,2,58,1,10.438532849657395,2726.1052631578946,6.75792,0.086,32.214,8.178315789473682
Pharmaceuticals,51,1,2,9.18,0.064,75,105532,31920,85,0.85,34.11,2,81,1,3.306036778296419,2029.4615384615386,7.803,0.128,37.4935,2.0294615384615384
Career Services,43,1,3,7.16,0.176,51,28415,27632,64,0.594,2.33,4,106,1,1.0282994969782506,645.7954545454545,4.2530399999999995,0.704,7.8912,0.6457954545454545
Advertising,43,4,1,9.16,0.053,76,99121,13628,80,0.962,25.29,1,87,1,7.272800645682001,2252.75,8.81192,0.053,28.232,9.011
Mobile,84,2,2,8.19,0.037,76,149817,49197,81,0.931,19.81,3,89,1,3.045184763608277,1762.5529411764705,7.62489,0.11099999999999999,24.146099999999997,3.525105882352941
Finance,101,2,2,7.84,0.029,63,53546,26927,77,0.938,34.87,1,76,1,1.9884878193701723,524.9607843137255,7.35392,0.029,34.5499,1.049921568627451
Music,49,3,2,7.17,0.031,73,152466,83670,84,0.905,17.84,2,85,1,1.822208411516535,3049.32,6.48885,0.062,23.3856,9.147960000000001
E-Commerce,78,4,2,8.8,0.012,93,101235,30616,74,0.957,14.59,1,52,1,3.306496390893948,1281.4556962025317,8.4216,0.012,18.1966,5.1258227848101265
Gaming,161,4,1,6.33,0.066,87,104909,36948,98,0.792,33.76,3,105,1,2.8392919970770523,647.5864197530864,5.0133600000000005,0.198,42.8848,2.5903456790123456
Transportation,19,1,1,4.14,0.367,52,10164,13000,24,0.215,9.41,4,220,0,0.7817860164602722,508.2,0.8900999999999999,1.468,4.6584,0.5082
Gaming,55,4,2,8.25,0.031,76,101748,18458,86,0.903,12.02,3,50,1,5.51210791483829,1816.9285714285713,7.44975,0.093,18.9372,7.267714285714285
E-Commerce,112,2,3,9.04,0.053,93,102482,15940,81,0.943,18.65,2,62,1,6.428831315475817,906.9203539823009,8.524719999999999,0.106,23.206500000000002,1.8138407079646017
Food & Beverages,80,3,3,7.34,0.045,81,127283,14568,84,0.953,72.82,3,58,1,8.736563937126776,1571.3950617283951,6.995019999999999,0.135,69.5688,4.714185185185185
Retail,148,2,1,8.42,0.02,97,138188,22996,95,0.877,10.39,1,79,1,6.008957690133496,927.4362416107383,7.38434,0.02,19.3705,1.8548724832214767
Finance,100,3,2,7.82,0.051,92,104269,35631,88,0.902,26.02,1,58,1,2.9262741356084416,1032.3663366336634,7.053640000000001,0.051,31.697599999999998,3.0970990099009903
Career Services,21,0,1,4.37,0.402,41,12428,13247,26,0.21,4.13,4,228,0,0.9381038647342995,564.9090909090909,0.9177,1.608,3.6738,0.0
Energy,121,2,3,8.25,0.042,96,90161,38789,95,0.893,15.03,1,58,1,2.3243361691157514,739.0245901639345,7.36725,0.042,23.778499999999998,1.478049180327869
Hospitality,5,0,1,4.66,0.204,15,12585,17146,45,0.252,-6.9,3,193,0,0.7339476293229136,2097.5,1.17432,0.612,1.3949999999999998,0.0
Energy,101,4,1,7.88,0.028,81,78549,25347,83,0.925,16.62,1,148,1,3.0988243648414078,770.0882352941177,7.289000000000001,0.028,22.0946,3.0803529411764705
Email,23,0,1,2.71,0.26,34,29784,31462,24,0.167,8.77,4,136,0,0.9466357308584686,1241.0,0.45257000000000003,1.04,4.5048,0.0
Career Services,18,0,2,4.77,0.23,25,7653,8425,50,0.173,-6.93,5,143,0,0.9082601471635414,402.7894736842105,0.8252099999999999,1.1500000000000001,1.535,0.0
Software Development,89,4,2,9.27,0.022,93,91727,13800,94,0.878,22.03,2,135,1,6.646402434606188,1019.1888888888889,8.139059999999999,0.044,30.1082,4.076755555555556
E-Commerce,18,0,1,5.37,0.266,33,9592,12173,31,0.282,8.31,5,165,0,0.7879086577953015,504.8421052631579,1.5143399999999998,1.33,5.676100000000002,0.0
Mobile,58,4,3,7.23,0.016,80,65262,20534,91,0.875,28.24,2,140,1,3.1780861943024106,1106.135593220339,6.32625,0.032,34.798399999999994,4.424542372881356
Retail,105,2,1,7.83,0.047,99,103060,22231,86,0.909,31.82,3,134,1,4.635660309463836,972.2641509433962,7.11747,0.14100000000000001,35.9652,1.9445283018867925
Security,56,3,2,8.6,0.026,89,129022,53343,68,0.924,18.81,1,72,1,2.418678764247151,2263.5438596491226,7.9464,0.026,19.590799999999998,6.790631578947369
Security,66,3,3,7.38,0.055,70,79241,34321,88,0.971,24.01,3,89,1,2.3087524037060776,1182.7014925373135,7.165979999999999,0.165,29.928800000000006,3.5481044776119406
Music,15,1,1,2.87,0.267,43,7309,8044,50,0.334,6.31,4,176,0,0.9085146053449348,456.8125,0.9585800000000001,1.068,8.155,0.4568125
Education,31,2,2,6.26,0.209,68,41906,14855,54,0.457,3.86,3,66,0,2.8208131394722673,1309.5625,2.86082,0.627,7.484399999999999,2.619125
Marketing,79,3,2,9.1,0.036,96,75181,24184,95,0.888,20.79,2,59,1,3.1085796981600167,939.7625,8.0808,0.072,29.2505,2.8192875
Music,82,2,1,8.37,0.034,84,167592,38371,81,0.879,15.24,3,161,1,4.367559678932555,2019.1807228915663,7.3572299999999995,0.10200000000000001,20.4444,4.038361445783132
Finance,105,3,2,7.33,0.01,68,53848,19095,97,0.839,17.04,3,59,1,2.8198575617930457,508.0,6.14987,0.03,26.2288,1.524
Enterprise Software,168,4,1,9.17,0.031,83,76716,16093,78,0.888,21.91,2,75,1,4.766745370945694,453.9408284023669,8.14296,0.062,24.8898,1.8157633136094675
Energy,60,4,2,7.87,0.029,88,101282,44128,65,0.885,27.44,1,55,1,2.29513471866573,1660.360655737705,6.96495,0.029,24.336,6.64144262295082
Mobile,44,1,2,5.59,0.32,24,13903,18237,39,0.306,-2.35,5,314,0,0.7623094637569909,308.9555555555556,1.71054,1.6,2.9835000000000003,0.3089555555555556
Finance,76,1,2,7.58,0.064,65,75411,33559,90,0.885,39.11,2,122,1,2.2470500595947556,979.3636363636364,6.7083,0.128,44.199,0.9793636363636363
Security,8,0,1,5.42,0.406,38,8646,10015,27,0.334,-8.59,3,116,0,0.8632188498402555,960.6666666666666,1.8102800000000001,1.218,0.3807000000000001,0.0
Media,25,0,1,5.65,0.439,38,31733,36998,29,0.225,1.94,4,136,0,0.8576718289683505,1220.5,1.2712500000000002,1.756,3.4626,0.0
Advertising,111,4,2,8.25,0.047,66,59798,19956,88,0.957,31.97,1,91,1,2.996342135591522,533.9107142857143,7.89525,0.047,36.9336,2.1356428571428574
Network Infrastructure,15,0,1,5.56,0.291,31,14660,20175,39,0.184,-4.16,5,386,0,0.7266058683584457,916.25,1.02304,1.4549999999999998,2.2776,0.0
Career Services,16,0,1,4.99,0.238,24,7744,10365,36,0.171,-9.47,5,131,0,0.7470576885973375,455.52941176470586,0.8532900000000001,1.19,0.19079999999999978,0.0
Music,56,3,2,9.79,0.016,87,104155,49366,94,0.857,7.6,1,86,1,2.1098101970952254,1827.280701754386,8.39003,0.016,16.544,5.4818421052631585
Career Services,5,0,1,4.68,0.213,33,12744,18285,31,0.129,-16.93,4,272,0,0.6969266105217106,2124.0,0.60372,0.852,-2.1483,0.0
Publishing,95,4,1,8.14,0.022,93,43904,10569,75,0.772,13.1,3,133,1,4.15364238410596,457.3333333333333,6.28408,0.066,17.325,1.8293333333333333
Hospitality,15,1,1,5.3,0.21,46,8090,11814,33,0.42,-17.94,4,217,0,0.6847228099873043,505.625,2.226,0.84,-2.6202000000000005,0.505625
Mobile,11,0,1,6.49,0.427,9,8907,8207,22,0.312,11.09,3,245,0,1.0851608187134503,742.25,2.02488,1.281,4.6398,0.0
Network Infrastructure,9,0,2,5.1,0.327,26,18827,17698,30,0.132,13.91,5,133,0,1.0637324142606928,1882.7,0.6732,1.635,7.172999999999999,0.0
Mobile,66,1,2,7.43,0.028,82,55249,25347,76,0.982,37.05,2,71,1,2.1796196938614485,824.6119402985074,7.296259999999999,0.056,35.757999999999996,0.8246119402985074
Media,8,1,1,4.93,0.245,28,6019,10800,11,0.231,4.48,4,99,0,0.5572632163688548,668.7777777777778,1.13883,0.98,1.5928,0.6687777777777778
Software Development,50,1,3,7.91,0.029,82,43881,17549,78,0.874,24.0,1,126,1,2.5003418803418804,860.4117647058823,6.91334,0.029,26.52,0.8604117647058823
Marketing,57,3,2,8.18,0.053,65,119553,70398,88,0.787,41.95,2,71,1,1.6982201451725167,2061.2586206896553,6.43766,0.106,45.716,6.183775862068965
Career Services,8,0,2,3.93,0.273,33,11582,13070,43,0.277,-4.18,4,254,0,0.8860836967332262,1286.888888888889,1.08861,1.092,2.5026,0.0
Retail,67,3,1,8.68,0.072,101,112881,35429,80,0.874,17.41,3,221,1,3.1860287891617274,1660.014705882353,7.58632,0.21599999999999997,21.928,4.980044117647059
Retail,8,0,2,4.61,0.414,56,22782,37203,19,0.279,-10.43,4,139,0,0.6123535103752284,2531.3333333333335,1.2861900000000002,1.656,-0.08169999999999994,0.0
Energy,8,1,1,5.96,0.194,31,21831,30535,25,0.261,-0.57,4,205,0,0.7149266439612261,2425.6666666666665,1.55556,0.776,2.3575,2.4256666666666664
Career Services,41,1,2,6.54,0.144,50,40909,19556,51,0.589,5.69,2,104,0,2.091782993301631,974.0238095238095,3.85206,0.288,8.001900000000001,0.9740238095238095
Real Estate,37,3,3,7.58,0.016,82,80258,30926,80,0.91,31.24,1,99,1,2.595078733792479,2112.0526315789475,6.8978,0.016,32.992,6.336157894736843
Food & Beverages,57,4,2,6.12,0.036,83,118581,45431,83,0.84,16.85,1,63,1,2.610076597992604,2044.5,5.1408,0.036,22.285500000000003,8.178
Hospitality,12,1,1,5.14,0.335,34,7635,12940,28,0.291,2.36,4,141,0,0.5899853179816088,587.3076923076923,1.4957399999999998,1.34,3.4608,0.5873076923076923
Manufacturing,15,0,2,6.4,0.306,16,9798,8589,42,0.159,3.83,5,178,0,1.140628637951106,612.375,1.0176,1.53,5.8086,0.0
Pharmaceuticals,22,1,1,6.06,0.39,33,18856,24071,34,0.254,-11.37,5,240,0,0.7833167165171153,819.8260869565217,1.53924,1.9500000000000002,-0.4657999999999997,0.8198260869565217
Enterprise Software,45,3,2,8.7,0.107,93,80396,37590,89,0.873,8.38,2,79,1,2.138703413050996,1747.7391304347825,7.5950999999999995,0.214,16.3582,5.243217391304348
Network Infrastructure,29,2,2,5.8,0.131,68,40106,18932,68,0.549,6.2,4,84,1,2.118311942111657,1336.8666666666666,3.1842,0.524,11.015999999999998,2.6737333333333333
Cloud Computing,59,3,2,8.05,0.055,77,67583,42743,94,0.922,14.78,2,50,1,1.5811107991764926,1126.3833333333334,7.422100000000001,0.11,23.293200000000002,3.3791500000000005
Advertising,24,0,2,5.54,0.311,40,8107,9294,27,0.191,-12.67,4,226,0,0.8721893491124261,324.28,1.05814,1.244,-0.7209,0.0
Pharmaceuticals,108,2,3,7.27,0.07,81,54910,12178,73,0.976,23.89,2,61,1,4.508580343213729,503.76146788990826,7.09552,0.14,24.739700000000003,1.0075229357798166
Security,13,1,2,5.12,0.516,50,23429,25346,31,0.175,7.07,4,130,0,0.9243302954984811,1673.5,0.8959999999999999,2.064,5.2917,1.6735
Cloud Computing,123,2,3,9.28,0.02,66,91999,47818,66,0.95,8.58,3,70,1,1.9239005416257136,741.9274193548387,8.815999999999999,0.06,12.2628,1.4838548387096773
Advertising,151,3,3,6.04,0.024,85,78918,13015,88,0.872,18.02,2,113,1,6.0631530424093425,519.1973684210526,5.2668800000000005,0.048,24.6576,1.5575921052631578
Energy,174,4,2,7.26,0.062,84,55496,21229,72,0.944,10.33,2,153,1,2.6140367404616107,317.12,6.853439999999999,0.124,14.637599999999997,1.26848
Human Resources,35,1,1,4.33,0.401,34,17577,18746,15,0.203,-16.06,5,154,0,0.9375900144023044,488.25,0.87899,2.005,-0.9089999999999998,0.48825
Real Estate,32,2,2,8.26,0.019,100,55156,3773,81,0.877,8.06,3,136,1,14.614732379438262,1671.3939393939395,7.24402,0.056999999999999995,14.6286,3.342787878787879
Security,115,2,2,7.65,0.034,88,169609,40597,75,0.887,20.05,2,80,1,4.1777673777033355,1462.146551724138,6.785550000000001,0.068,22.5375,2.9242931034482758
Hospitality,58,3,2,7.57,0.037,60,50471,20193,82,0.881,9.04,1,53,1,2.4993067247697334,855.4406779661017,6.66917,0.037,15.6128,2.566322033898305
Career Services,33,2,2,8.98,0.01,80,72712,28331,78,0.944,8.17,3,57,1,2.5664266553720174,2138.5882352941176,8.47712,0.03,14.172600000000003,4.277176470588235
Pharmaceuticals,41,1,3,9.64,0.02,59,80288,10571,85,0.894,23.94,1,73,1,7.594400302686341,1911.6190476190477,8.618160000000001,0.02,28.848999999999997,1.9116190476190478
Gaming,127,4,3,7.97,0.063,76,74244,27370,83,0.909,31.05,2,91,1,2.7125059369405573,580.03125,7.24473,0.126,34.07149999999999,2.320125
Music,88,2,3,8.21,0.03,73,103155,34331,95,0.867,11.21,2,70,1,3.0046312478154493,1159.0449438202247,7.11807,0.06,20.1495,2.3180898876404497
Education,28,0,2,4.0,0.36,37,12705,11512,43,0.186,-13.31,5,266,0,1.1035351341961261,438.1034482758621,0.744,1.7999999999999998,-1.4233000000000002,0.0
Food & Beverages,63,0,2,7.33,0.161,73,42027,18317,59,0.547,3.84,4,109,0,2.2943006878480183,656.671875,4.009510000000001,0.644,8.1656,0.0
Advertising,55,3,2,7.55,0.016,69,61392,31955,74,0.933,24.92,2,159,1,1.92114156965828,1096.2857142857142,7.04415,0.032,25.840799999999998,3.2888571428571427
E-Commerce,27,0,1,5.46,0.395,24,15212,21802,44,0.386,-1.4,3,257,0,0.6977021510801266,543.2857142857143,2.10756,1.185,3.784,0.0
Food & Beverages,52,2,3,7.18,0.018,78,50635,17054,81,0.855,37.64,1,102,1,2.9689240691879215,955.377358490566,6.1389,0.018,38.5884,1.910754716981132
Career Services,63,2,2,7.36,0.088,87,162241,78267,64,0.716,15.03,1,55,1,2.0728905810803906,2535.015625,5.26976,0.088,16.0192,5.07003125
E-Commerce,98,2,3,7.88,0.053,86,134045,31996,80,0.805,31.28,3,82,1,4.189298996780948,1353.989898989899,6.3434,0.159,33.024,2.707979797979798
Enterprise Software,10,0,2,3.88,0.345,30,28103,41797,23,0.198,-5.07,3,126,0,0.6723527441504378,2554.818181818182,0.76824,1.035,1.1339,0.0
Marketing,99,3,1,8.95,0.037,60,121257,67045,100,0.921,27.68,2,64,1,1.8085642693076396,1212.57,8.24295,0.074,37.68,3.63771
Career Services,68,3,3,8.38,0.064,80,131663,53290,82,0.954,25.63,1,78,1,2.4706423223433602,1908.159420289855,7.9945200000000005,0.064,29.2166,5.7244782608695655
Analytics,5,0,2,6.98,0.247,53,10161,14277,39,0.18,-8.27,4,292,0,0.7116542933183919,1693.5,1.2564,0.988,0.6747000000000001,0.0
Finance,34,2,1,5.51,0.126,53,23995,30113,68,0.489,7.48,2,81,1,0.7968054725376901,685.5714285714286,2.69439,0.252,11.886400000000002,1.3711428571428572
Publishing,66,4,3,8.7,0.028,72,80117,36484,91,0.902,14.47,1,193,1,2.195888721392353,1195.7761194029852,7.8473999999999995,0.028,22.2677,4.783104477611941
Hospitality,43,1,2,9.7,0.039,74,88957,12436,94,0.88,52.26,1,70,1,7.152609150116588,2021.75,8.536,0.039,58.52439999999999,2.02175
Finance,61,0,2,2.88,0.332,42,6159,7235,49,0.417,-6.52,5,154,0,0.8511608623548922,99.33870967741936,1.2009599999999998,1.6600000000000001,1.7052,0.0
Transportation,65,4,1,7.79,0.027,89,81340,10882,81,0.927,33.28,1,97,1,7.4740420839841955,1232.4242424242425,7.22133,0.027,35.0568,4.92969696969697
E-Commerce,128,1,2,8.41,0.036,87,132282,24855,72,0.968,25.91,2,56,1,5.321934341808819,1025.4418604651162,8.14088,0.072,25.855199999999996,1.025441860465116
Human Resources,66,4,1,8.66,0.023,71,99446,26793,82,0.87,7.67,2,84,1,3.711502575203404,1484.2686567164178,7.5342,0.046,14.4894,5.937074626865671
Pharmaceuticals,32,0,1,5.38,0.302,37,17464,16343,39,0.24,-4.18,4,119,0,1.0685266764561918,529.2121212121212,1.2912,1.208,2.2698,0.0
Human Resources,50,2,3,5.52,0.235,72,36848,27121,66,0.405,1.18,4,96,1,1.358601873018214,722.5098039215686,2.2356,0.94,7.3788,1.4450196078431372
Energy,60,1,3,5.88,0.169,55,34622,22382,71,0.529,7.05,4,98,1,1.5467989098869679,567.5737704918033,3.11052,0.676,12.1055,0.5675737704918034
Transportation,22,1,2,6.21,0.149,50,29496,28925,73,0.562,1.11,2,119,1,1.0197054552997304,1282.4347826086957,3.4900200000000003,0.298,8.1103,1.2824347826086957
Energy,31,3,2,8.5,0.027,86,75450,19677,90,0.95,26.62,1,80,1,3.8342311210488873,2357.8125,8.075,0.027,32.958,7.0734375
Gaming,86,2,1,9.33,0.036,100,95870,35457,65,0.828,9.08,3,79,1,2.7037621975294717,1101.9540229885058,7.725239999999999,0.10799999999999998,12.401999999999997,2.2039080459770117
Transportation,79,0,1,5.64,0.145,62,28176,29388,67,0.597,6.98,3,115,1,0.9587260539657695,352.2,3.3670799999999996,0.43499999999999994,11.376600000000002,0.0
Transportation,29,1,2,7.05,0.128,52,39649,31042,56,0.445,2.39,2,90,0,1.2772283606610186,1321.6333333333334,3.13725,0.256,6.938400000000001,1.3216333333333334
Transportation,12,0,1,6.33,0.341,15,12941,18021,43,0.3,-3.84,4,228,0,0.7180668072356009,995.4615384615385,1.899,1.364,2.6488,0.0
Mobile,48,0,2,7.01,0.195,74,33354,21803,57,0.535,8.52,2,84,1,1.5297193175564117,680.6938775510204,3.75035,0.39,10.556399999999998,0.0
Marketing,134,3,2,7.42,0.057,69,104424,53870,85,0.941,33.79,1,112,1,1.9384084201147185,773.5111111111111,6.98222,0.057,37.2215,2.320533333333333
Real Estate,67,4,3,8.36,0.018,89,53623,2213,89,0.838,30.43,3,102,1,24.21996386630533,788.5735294117648,7.005679999999999,0.05399999999999999,35.9827,3.154294117647059
Cloud Computing,41,0,1,7.27,0.173,63,25136,14343,72,0.466,5.15,2,96,0,1.7523703290574457,598.4761904761905,3.38782,0.346,10.908,0.0
Food & Beverages,100,2,2,8.85,0.042,87,114635,24861,98,0.88,12.56,1,83,1,4.61085190250181,1135.0,7.787999999999999,0.042,22.108800000000002,2.27
Transportation,57,4,3,7.71,0.018,78,64326,7031,72,0.783,8.59,2,57,1,9.147610921501707,1109.0689655172414,6.03693,0.036,13.3848,4.436275862068966
Education,73,0,3,6.68,0.208,74,28852,29036,64,0.536,1.43,2,77,1,0.9936288184041051,389.8918918918919,3.58048,0.416,7.3152,0.0
Publishing,116,1,1,7.03,0.031,91,74822,37139,81,0.92,12.01,2,91,1,2.0145934302638664,639.5042735042736,6.467600000000001,0.062,17.8281,0.6395042735042735
Analytics,76,3,1,7.79,0.037,76,57478,15964,79,0.863,18.63,2,88,1,3.6002505480739115,746.4675324675325,6.72277,0.074,22.6177,2.2394025974025973
Real Estate,48,0,3,6.16,0.187,56,30092,25329,50,0.352,1.93,2,62,1,1.187998420844848,614.1224489795918,2.16832,0.374,5.965,0.0
Network Infrastructure,73,1,1,7.42,0.019,60,73005,29512,100,0.89,45.75,2,128,1,2.473655677159218,986.5540540540541,6.6038,0.038,55.75,0.986554054054054
Email,15,0,2,5.77,0.373,43,9962,15130,32,0.405,-1.05,3,188,0,0.6583834511929152,622.625,2.33685,1.119,2.864,0.0
Pharmaceuticals,162,1,3,7.65,0.046,80,84399,35775,69,0.87,36.64,2,55,1,2.3590954830053668,517.7852760736197,6.6555,0.092,32.181599999999996,0.5177852760736197
Pharmaceuticals,115,3,2,8.84,0.079,76,104280,36272,84,0.956,27.2,2,112,1,2.8748656025142667,898.9655172413793,8.451039999999999,0.158,31.248,2.6968965517241377
Education,60,3,3,8.26,0.024,69,101003,33109,71,0.882,29.67,2,98,1,3.0505285412262158,1655.7868852459017,7.28532,0.048,28.1657,4.967360655737705
Cloud Computing,15,0,1,5.91,0.235,36,11362,16400,40,0.301,-9.21,3,169,0,0.6927626364246082,710.125,1.77891,0.705,0.31599999999999967,0.0
Retail,11,1,1,4.23,0.245,52,18897,25648,40,0.154,-4.5,3,265,0,0.7367538695465711,1574.75,0.6514200000000001,0.735,2.2,1.57475
Education,19,0,1,4.82,0.313,48,16717,14598,33,0.155,3.52,5,291,0,1.145078430029454,835.85,0.7471,1.565,4.4616,0.0
